球員,背號,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,HBP,SO,SH,SF,GIDP,SB,CS,SB%
唐肇廷,6,75,66,9,13,1,0,0,6,9,0,0,6,0,0,1,1,0,100.0%
許哲晏,10,22,18,4,4,1,0,0,3,3,0,1,3,0,0,0,0,0,NaN%
陳傑憲,24,481,403,70,127,13,4,4,49,65,2,4,43,6,3,10,10,5,66.7%
胡金龍,51,232,215,23,59,8,0,2,24,13,0,0,40,1,3,8,0,2,0.0%
林益全,99,311,284,20,87,14,0,3,54,22,1,2,42,0,3,13,1,0,100.0%
陳鏞基,13,293,262,22,88,17,0,5,48,20,0,6,43,2,3,4,4,2,66.7%
林岱安,31,171,156,15,35,2,0,2,11,10,0,1,29,2,2,3,0,0,NaN%
邱智呈,14,258,227,51,71,11,1,5,23,22,0,5,45,4,0,4,7,2,77.8%
林靖凱,64,381,348,38,91,11,0,1,33,11,0,9,55,10,3,14,5,5,50.0%
陳重羽,65,256,222,26,61,9,2,2,33,19,0,3,38,11,1,4,3,4,42.9%
林祖傑,39,156,138,12,27,7,0,0,9,12,0,1,28,5,0,2,1,0,100.0%
陳重廷,66,262,239,25,67,8,2,1,19,12,0,3,35,8,0,11,8,1,88.9%
蘇智傑,32,471,407,64,122,16,4,12,76,55,2,7,59,0,2,11,9,3,75.0%
林子豪,2,286,247,35,65,13,1,2,23,37,2,1,42,0,1,8,4,0,100.0%
李丞齡,9,72,65,11,13,1,0,1,6,5,0,1,18,0,1,4,2,1,66.7%
何恆佑,7,47,45,4,8,2,0,0,0,1,0,0,12,1,0,1,0,0,NaN%
田子杰,49,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NaN%
林安可,77,292,259,40,64,9,2,15,35,25,1,5,57,0,3,5,2,1,66.7%
潘傑楷,35,182,153,24,44,6,0,1,14,24,0,1,24,2,2,4,3,2,60.0%
柯育民,36,33,30,5,8,2,0,0,3,2,0,0,3,1,0,0,1,0,100.0%
黃勇傳,61,121,107,12,25,3,0,0,9,11,0,2,19,0,1,2,2,2,50.0%
姚雨翔,67,10,8,2,2,1,0,0,1,1,0,0,2,0,1,1,0,0,NaN%
張聖豪,46,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN%
鄭鎧文,28,23,19,1,3,0,0,0,0,3,0,1,6,0,0,0,0,0,NaN%
羅暐捷,8,36,33,5,4,0,1,0,5,2,0,0,13,0,1,0,0,0,NaN%
郭阜林,5,71,68,9,17,1,1,1,6,2,0,1,13,0,0,3,0,0,NaN%
江亮緯,27,9,9,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,NaN%
施冠宇,3,62,55,4,13,3,1,0,6,6,0,1,11,0,0,0,2,2,50.0%
張偉聖,52,12,10,2,2,0,0,0,1,2,0,0,3,0,0,1,0,0,NaN%
林培緯,25,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NaN%
張翔,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN%
楊竣翔,94,8,7,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,NaN%
林佳緯,20,11,9,0,1,1,0,0,1,2,0,0,2,0,0,0,0,0,NaN%
